Movie_Name,Certificate,Duration,Year,Rating,Genre,Vote,Gross,Country,Language,Budget
Into the Wild,R,148,2007,8.1,"Adventure, Biography, Drama",522033,18352454,USA,English,15000000
Dunkirk,PG-13,106,2017,7.9,"Action, Drama, History",460612,188373161,UK,English,100000000
Shoplifters,R,121,2018,8,"Crime, Drama",28327,3311687,Japan,Japanese,0
Gangs of Wasseypur,Not Rated,321,2012,8.2,"Action, Comedy, Crime",68492,0,India,Hindi,2659812
Stalker,Not Rated,162,1979,8.1,"Drama, Sci-Fi",97088,234723,Soviet Union,Russian,92203
Diabolique,Not Rated,117,1955,8.1,"Crime, Drama, Horror",56256,0,France,French,0
Hot Fuzz,R,121,2007,7.9,"Action, Comedy, Mystery",423113,23637265,UK,English,8944040
Gone Girl,R,149,2014,8.1,"Drama, Mystery, Thriller",756131,167767189,USA,English,61000000
Hotel Rwanda,PG-13,121,2004,8.1,"Biography, Drama, History",312138,23530892,UK,English,17500000
Relatos salvajes,R,122,2014,8.1,"Comedy, Drama, Thriller",149725,3107072,Argentina,Spanish,3300000
The Grand Budapest Hotel,R,99,2014,8.1,"Adventure, Comedy, Crime",629617,59100318,USA,English,25000000
Prisoners,R,153,2013,8.1,"Crime, Drama, Mystery",522367,61002302,USA,English,46000000
The Martian,PG-13,144,2015,8,"Adventure, Drama, Sci-Fi",674015,228433663,UK,English,108000000
Persona,Not Rated,83,1966,8.1,"Drama, Thriller",86406,0,Sweden,Swedish,0
Toy Story 2,G,92,1999,7.9,"Animation, Adventure, Comedy",466176,245852179,USA,English,90000000
Rush,R,123,2013,8.1,"Action, Biography, Drama",389581,26947624,UK,English,38000000
Hachi: A Dog's Tale,G,93,2009,8.1,"Drama, Family",221718,0,UK,English,16000000
Dawn of the Dead,Not Rated,127,1978,7.9,"Horror, Thriller",103015,5100000,USA,English,650000
Catch Me If You Can,PG-13,141,2002,8.1,"Biography, Crime, Drama",713019,164615351,USA,English,52000000
Akira,R,124,1988,8.1,"Animation, Drama, Sci-Fi",138151,553171,Japan,Japanese,9937840
Barry Lyndon,PG,185,1975,8.1,"Adventure, Drama, History",131540,0,UK,English,11000000
Paper Moon,PG,102,1973,8.1,"Comedy, Drama",37884,30933743,USA,English,2500000
Infernal Affairs,R,101,2002,8.1,"Crime, Drama, Mystery",110663,169659,Hong Kong,Cantonese,6428966
Mary Poppins,G,139,1964,7.8,"Comedy, Family, Fantasy",141602,102272727,USA,English,6000000
Dog Day Afternoon,R,125,1975,8,"Biography, Crime, Drama",217234,50000000,USA,English,1800000
The Triplets of Belleville,PG-13,78,2003,7.8,"Animation, Comedy, Drama",47623,7002255,France,French,9500000
Wings of Desire,PG-13,128,1987,8.1,"Drama, Fantasy, Romance",57522,3210139,West Germany,German,2802877
What Ever Happened to Baby Jane?,Not Rated,134,1962,8.1,"Drama, Horror, Thriller",44896,4050000,USA,English,980000
Edward Scissorhands,PG-13,105,1990,7.9,"Drama, Fantasy, Romance",413248,56362352,USA,English,20000000
Ghostbusters,PG,105,1984,7.8,"Action, Comedy, Fantasy",321928,238632124,USA,English,30000000
Halloween,R,91,1978,7.8,"Horror, Thriller",204277,47000000,USA,English,300000
The Help,PG-13,146,2011,8.1,Drama,390723,169708112,USA,English,25000000
Dazed and Confused,R,102,1993,7.7,Comedy,146220,7993039,USA,English,6900000
The Nightmare Before Christmas,PG,76,1993,8,"Animation, Family, Fantasy",267439,75082668,USA,English,18000000
In the Mood for Love,PG,98,2000,8.1,"Drama, Romance",104914,2734044,Hong Kong,Cantonese,0
The Iron Giant,PG,86,1999,8,"Animation, Action, Adventure",155964,23159305,USA,English,70000000
The Avengers,PG-13,143,2012,8.1,"Action, Adventure, Sci-Fi",1172274,623357910,USA,English,220000000
Forbidden Planet,G,98,1956,7.6,"Action, Adventure, Sci-Fi",41055,3000000,USA,English,1900000
Wild Strawberries,Not Rated,91,1957,8.2,"Drama, Romance",83740,0,Sweden,Swedish,0
The Man Who Shot Liberty Valance,Not Rated,123,1962,8.1,"Drama, Western",62420,0,USA,English,3200000
Andaz Apna Apna,PG,160,1994,8.2,"Comedy, Family, Romance",45293,0,India,Hindi,419209
Nausicaä of the Valley of the Wind,PG,117,1984,8.1,"Animation, Adventure, Fantasy",127344,1845211,Japan,Japanese,1000000
Letters from Iwo Jima,R,141,2006,7.9,"Drama, History, War",146000,13756082,USA,Japanese,19000000
Ying xiong,PG-13,107,2002,7.9,"Action, Adventure, History",165406,53710019,China,Mandarin,31000000
"Paris, Texas",R,145,1984,8.1,Drama,73964,2181987,West Germany,English,1528022
Fanny and Alexander,R,188,1982,8.1,Drama,52148,4971340,Sweden,Swedish,6000000
Mystic River,R,138,2003,8,"Crime, Drama, Mystery",387161,90135191,USA,English,25000000
Baby Driver,R,112,2017,7.6,"Action, Crime, Drama",357081,107825862,UK,English,34000000
Snatch,R,102,2000,8.3,"Comedy, Crime",714565,30328156,UK,English,7889958
Warrior,PG-13,140,2011,8.2,"Drama, Sport",401803,13657115,USA,English,25000000
Sling Blade,R,135,1996,8,Drama,81279,24475416,USA,English,890000
Underground,Not Rated,167,1995,8.1,"Comedy, Drama, War",50798,171082,Federal Republic of Yugoslavia,Serbian,14000000
Cat on a Hot Tin Roof,Not Rated,108,1958,8.1,Drama,40119,17570324,USA,English,3000000
Interstellar,PG-13,169,2014,8.6,"Adventure, Drama, Sci-Fi",1285124,188020017,USA,English,165000000
Elite Squad,R,115,2007,8.1,"Action, Crime, Drama",92139,8060,Brazil,Portuguese,4000000
V for Vendetta,R,132,2005,8.2,"Action, Drama, Sci-Fi",947575,70511035,USA,English,54000000
Le Samouraï,GP,101,1967,8.1,"Crime, Drama, Mystery",38936,39481,France,French,0
"Spring, Summer, Fall, Winter... and Spring",R,103,2003,8.1,"Drama, Romance",70994,2380788,South Korea,Korean,0
La leggenda del pianista sull'oceano,R,170,1998,8.1,"Drama, Music, Romance",51554,259127,Italy,English,9000000
Darbareye Elly,Not Found,119,2009,8,"Drama, Mystery, Thriller",37810,106662,Iran,Persian,"1350000	"
Dances with Wolves,PG-13,181,1990,8,"Adventure, Drama, Western",219723,184208848,USA,English,22000000
Lady Bird,R,94,2017,7.4,"Comedy, Drama",174868,48958273,USA,English,10000000
Adaptation.,R,115,2002,7.7,"Comedy, Drama",164626,22245861,USA,English,19000000
The Message,PG,177,1976,8.2,"Adventure, Biography, Drama",39892,0,Lebanon,English,10000000
Rififi,Not Rated,118,1955,8.2,"Crime, Thriller",22725,57226,France,French,200000
Logan,R,137,2017,8.1,"Action, Drama, Sci-Fi",551251,226277068,USA,English,97000000
Elite Squad: The Enemy Within,Not Rated,115,2010,8.1,"Action, Crime, Drama",74845,100119,Brazil,Portuguese,4061945
3-Iron,R,88,2004,8,"Crime, Drama, Romance",44810,238507,South Korea,Korean,1000000
Spider-Man: Into the Spider-Verse,PG,117,2018,8.5,"Animation, Action, Adventure",191529,190241310,USA,English,90000000
Edge of Tomorrow,PG-13,113,2014,7.9,"Action, Sci-Fi",542847,100206256,USA,English,178000000
Sherlock Jr.,Not Rated,45,1924,8.2,"Action, Comedy, Romance",32748,977375,USA,English,0
Star Trek,PG-13,127,2009,8,"Action, Adventure, Sci-Fi",555237,257730019,USA,English,150000000
Ace in the Hole,Not Rated,111,1951,8.2,"Drama, Film-Noir",24254,3969893,USA,English,1800000
Harry Potter and the Prisoner of Azkaban,PG,142,2004,7.9,"Adventure, Family, Fantasy",486700,249358727,UK,English,130000000
Bambi,G,70,1942,7.3,"Animation, Drama, Family",117116,102797150,USA,English,858000
The Thin Man,Not Rated,91,1934,8.1,"Comedy, Crime, Mystery",24068,0,USA,English,226408
Moon,R,97,2009,7.9,"Drama, Mystery, Sci-Fi",310587,5009677,UK,English,5000000
Freaks,Not Rated,64,1932,7.9,"Drama, Horror",38080,0,USA,English,310607
Twelve Monkeys,R,129,1995,8,"Mystery, Sci-Fi, Thriller",537533,57141459,USA,English,29000001
Samsara,PG-13,102,2011,8.5,"Documentary, Music",29513,2601847,USA,None,4000000
The Jazz Singer,Not Rated,88,1927,6.7,"Drama, Music, Musical",8168,7630000,USA,English,422000
